"id","kode_kbli","nama_kbli","keterangan","versi","created_at","created_by_id","rejected_at","rejected_by_id","status","updated_at","verified_at","verified_by_id"
"1","25120","Industri tangki, tangki air dan wadah dari logam","7","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"2","28160","Industri alat pengangkut dan pemindah","8","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"3","28120","Industri mesin pertanian dan kehutanan","3","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"4","28221","Industri mesin dan perkakas mesin untuk pengerjaan logam","21","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"5","28240","Industri mesin penambangan, penggalian, dan konstruksi","8","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"6","29300","Industri suku cadang dan aksesori kendaraan bermotor roda empat atau lebih","5","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"7","46100","Perdagangan besar atas dasar balas jasa (fee) atau kontrak","7","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"8","46591","Perdagangan besar mesin kantor dan industri, suku cadang dan perlengkapannya","28","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"9","71102","Aktivitas keinsinyuran dan konsultasi teknis YBDI","13","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"10","171","Perburuan dan penangkapan satwa liar","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"11","172","Penangkaran tumbuhan/satwa liar","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"12","211","Pengusahaan hutan tanaman","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"13","212","Pengusahaan hutan alam","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"14","213","Pengusahaan hasil hutan bukan kayu","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"15","214","Pengusahaan pembibitan tanaman kehutanan","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"16","311","Penangkapan ikan di laut","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"17","313","Jasa penangkapan ikan di laut","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
"18","312","Penangkapan ikan di perairan umum","","kbli 2015","11/24/2016 08:08:13","","","","6","11/24/2016 08:08:21","",""
